"BRANCHES","ID","New_Char","STNAME","TOTAL","YEAR"
78,"CB_1969_VT",,"Vermont",43,"1969"
523,"CB_1969_WA",,"Washington",92,"1969"
252,"CB_1969_WI",,"Wisconsin",600,"1969"
5,"CB_1969_WV",,"West Virginia",195,"1969"
2,"CB_1969_WY",,"Wyoming",70,"1969"
55,"CB_1968_AK",,"Alaska",10,"1968"
236,"CB_1968_AL",,"Alabama",268,"1968"
141,"CB_1968_AR",,"Arkansas",245,"1968"
2,"CB_1968_AS",,"American Samoa",0,"1968"
278,"CB_1968_AZ",,"Arizona",13,"1968"
2788,"CB_1968_CA",,"California",156,"1968"
10,"CB_1968_CO",,"Colorado",219,"1968"
375,"CB_1968_CT",,"Connecticut",63,"1968"
100,"CB_1968_DC",,"District Of Columbia",14,"1968"
78,"CB_1968_DE",,"Delaware",19,"1968"
25,"CB_1968_FL",,"Florida",455,"1968"
26,"CB_1968_FM",,"Federated States of Micronesia",0,"1968"
248,"CB_1968_GA",,"Georgia",417,"1968"
5,"CB_1968_GU",,"Guam",0,"1968"
122,"CB_1968_HI",,"Hawaii",7,"1968"
282,"CB_1968_IA",,"Iowa",661,"1968"
142,"CB_1968_ID",,"Idaho",26,"1968"
45,"CB_1968_IL",,"Illinois",1069,"1968"
576,"CB_1968_IN",,"Indiana",411,"1968"
61,"CB_1968_KS",,"Kansas",600,"1968"
286,"CB_1968_KY",,"Kentucky",341,"1968"
329,"CB_1968_LA",,"Louisiana",228,"1968"
680,"CB_1968_MA",,"Massachusetts",153,"1968"
462,"CB_1968_MD",,"Maryland",121,"1968"
197,"CB_1968_ME",,"Maine",40,"1968"
1099,"CB_1968_MI",,"Michigan",336,"1968"
10,"CB_1968_MN",,"Minnesota",720,"1968"
85,"CB_1968_MO",,"Missouri",659,"1968"
296,"CB_1968_MS",,"Mississippi",185,"1968"
5,"CB_1968_MT",,"Montana",134,"1968"
924,"CB_1968_NC",,"North Carolina",120,"1968"
67,"CB_1968_ND",,"North Dakota",166,"1968"
37,"CB_1968_NE",,"Nebraska",435,"1968"
41,"CB_1968_NH",,"New Hampshire",74,"1968"
797,"CB_1968_NJ",,"New Jersey",226,"1968"
114,"CB_1968_NM",,"New Mexico",63,"1968"
78,"CB_1968_NV",,"Nevada",9,"1968"
2206,"CB_1968_NY",,"New York",296,"1968"
1130,"CB_1968_OH",,"Ohio",523,"1968"
55,"CB_1968_OK",,"Oklahoma",423,"1968"
307,"CB_1968_OR",,"Oregon",48,"1968"
1517,"CB_1968_PA",,"Pennsylvania",500,"1968"
165,"CB_1968_PR",,"Puerto Rico",7,"1968"
151,"CB_1968_RI",,"Rhode Island",11,"1968"
351,"CB_1968_SC",,"South Carolina",117,"1968"
91,"CB_1968_SD",,"South Dakota",164,"1968"
416,"CB_1968_TN",,"Tennessee",299,"1968"
63,"CB_1968_TX",,"Texas",1142,"1968"
115,"CB_1968_UT",,"Utah",54,"1968"
709,"CB_1968_VA",,"Virginia",237,"1968"
19,"CB_1968_VI",,"Virgin Islands Of The U.S.",1,"1968"
71,"CB_1968_VT",,"Vermont",44,"1968"
487,"CB_1968_WA",,"Washington",94,"1968"
223,"CB_1968_WI",,"Wisconsin",599,"1968"
4,"CB_1968_WV",,"West Virginia",195,"1968"
1,"CB_1968_WY",,"Wyoming",70,"1968"
54,"CB_1967_AK",,"Alaska",10,"1967"
211,"CB_1967_AL",,"Alabama",266,"1967"
130,"CB_1967_AR",,"Arkansas",245,"1967"
2,"CB_1967_AS",,"American Samoa",0,"1967"
265,"CB_1967_AZ",,"Arizona",17,"1967"
2687,"CB_1967_CA",,"California",172,"1967"
7,"CB_1967_CO",,"Colorado",217,"1967"
357,"CB_1967_CT",,"Connecticut",64,"1967"
96,"CB_1967_DC",,"District Of Columbia",14,"1967"
74,"CB_1967_DE",,"Delaware",19,"1967"
21,"CB_1967_FL",,"Florida",446,"1967"
24,"CB_1967_FM",,"Federated States of Micronesia",0,"1967"
227,"CB_1967_GA",,"Georgia",408,"1967"
5,"CB_1967_GU",,"Guam",0,"1967"
122,"CB_1967_HI",,"Hawaii",7,"1967"
260,"CB_1967_IA",,"Iowa",661,"1967"
141,"CB_1967_ID",,"Idaho",26,"1967"
18,"CB_1967_IL",,"Illinois",1062,"1967"
542,"CB_1967_IN",,"Indiana",413,"1967"
58,"CB_1967_KS",,"Kansas",600,"1967"
268,"CB_1967_KY",,"Kentucky",340,"1967"
305,"CB_1967_LA",,"Louisiana",225,"1967"
644,"CB_1967_MA",,"Massachusetts",154,"1967"
435,"CB_1967_MD",,"Maryland",121,"1967"
191,"CB_1967_ME",,"Maine",41,"1967"
1047,"CB_1967_MI",,"Michigan",339,"1967"
9,"CB_1967_MN",,"Minnesota",719,"1967"
78,"CB_1967_MO",,"Missouri",656,"1967"
281,"CB_1967_MS",,"Mississippi",188,"1967"
5,"CB_1967_MT",,"Montana",132,"1967"
854,"CB_1967_NC",,"North Carolina",127,"1967"
62,"CB_1967_ND",,"North Dakota",166,"1967"
33,"CB_1967_NE",,"Nebraska",433,"1967"
37,"CB_1967_NH",,"New Hampshire",73,"1967"
757,"CB_1967_NJ",,"New Jersey",225,"1967"
109,"CB_1967_NM",,"New Mexico",64,"1967"
75,"CB_1967_NV",,"Nevada",9,"1967"
2127,"CB_1967_NY",,"New York",303,"1967"
1069,"CB_1967_OH",,"Ohio",529,"1967"
46,"CB_1967_OK",,"Oklahoma",421,"1967"
285,"CB_1967_OR",,"Oregon",47,"1967"
1419,"CB_1967_PA",,"Pennsylvania",512,"1967"
151,"CB_1967_PR",,"Puerto Rico",7,"1967"
142,"CB_1967_RI",,"Rhode Island",12,"1967"
328,"CB_1967_SC",,"South Carolina",122,"1967"
87,"CB_1967_SD",,"South Dakota",165,"1967"
403,"CB_1967_TN",,"Tennessee",295,"1967"
59,"CB_1967_TX",,"Texas",1139,"1967"
112,"CB_1967_UT",,"Utah",55,"1967"
656,"CB_1967_VA",,"Virginia",250,"1967"
13,"CB_1967_VI",,"Virgin Islands Of The U.S.",1,"1967"
67,"CB_1967_VT",,"Vermont",45,"1967"
452,"CB_1967_WA",,"Washington",94,"1967"
171,"CB_1967_WI",,"Wisconsin",595,"1967"
0,"CB_1967_WV",,"West Virginia",194,"1967"
1,"CB_1967_WY",,"Wyoming",69,"1967"
55,"CB_1966_AK",,"Alaska",10,"1966"
186,"CB_1966_AL",,"Alabama",267,"1966"
119,"CB_1966_AR",,"Arkansas",243,"1966"
2,"CB_1966_AS",,"American Samoa",0,"1966"
261,"CB_1966_AZ",,"Arizona",17,"1966"
2532,"CB_1966_CA",,"California",187,"1966"
9,"CB_1966_CO",,"Colorado",215,"1966"
336,"CB_1966_CT",,"Connecticut",63,"1966"
94,"CB_1966_DC",,"District Of Columbia",14,"1966"
71,"CB_1966_DE",,"Delaware",20,"1966"
19,"CB_1966_FL",,"Florida",443,"1966"
24,"CB_1966_FM",,"Federated States of Micronesia",0,"1966"
211,"CB_1966_GA",,"Georgia",394,"1966"
5,"CB_1966_GU",,"Guam",0,"1966"
119,"CB_1966_HI",,"Hawaii",7,"1966"
250,"CB_1966_IA",,"Iowa",661,"1966"
140,"CB_1966_ID",,"Idaho",25,"1966"
5,"CB_1966_IL",,"Illinois",1053,"1966"
507,"CB_1966_IN",,"Indiana",415,"1966"
53,"CB_1966_KS",,"Kansas",599,"1966"
243,"CB_1966_KY",,"Kentucky",342,"1966"
286,"CB_1966_LA",,"Louisiana",219,"1966"
611,"CB_1966_MA",,"Massachusetts",157,"1966"
408,"CB_1966_MD",,"Maryland",121,"1966"
180,"CB_1966_ME",,"Maine",41,"1966"
986,"CB_1966_MI",,"Michigan",345,"1966"
9,"CB_1966_MN",,"Minnesota",719,"1966"
71,"CB_1966_MO",,"Missouri",652,"1966"
259,"CB_1966_MS",,"Mississippi",190,"1966"
3,"CB_1966_MT",,"Montana",131,"1966"
786,"CB_1966_NC",,"North Carolina",136,"1966"
59,"CB_1966_ND",,"North Dakota",164,"1966"
29,"CB_1966_NE",,"Nebraska",433,"1966"
33,"CB_1966_NH",,"New Hampshire",72,"1966"
712,"CB_1966_NJ",,"New Jersey",229,"1966"
101,"CB_1966_NM",,"New Mexico",64,"1966"
70,"CB_1966_NV",,"Nevada",9,"1966"
2053,"CB_1966_NY",,"New York",311,"1966"
1009,"CB_1966_OH",,"Ohio",535,"1966"
42,"CB_1966_OK",,"Oklahoma",419,"1966"
273,"CB_1966_OR",,"Oregon",49,"1966"
1336,"CB_1966_PA",,"Pennsylvania",536,"1966"
145,"CB_1966_PR",,"Puerto Rico",8,"1966"
121,"CB_1966_RI",,"Rhode Island",9,"1966"
302,"CB_1966_SC",,"South Carolina",124,"1966"
83,"CB_1966_SD",,"South Dakota",166,"1966"
377,"CB_1966_TN",,"Tennessee",294,"1966"
53,"CB_1966_TX",,"Texas",1137,"1966"
111,"CB_1966_UT",,"Utah",55,"1966"
612,"CB_1966_VA",,"Virginia",251,"1966"
11,"CB_1966_VI",,"Virgin Islands Of The U.S.",1,"1966"
59,"CB_1966_VT",,"Vermont",47,"1966"
424,"CB_1966_WA",,"Washington",94,"1966"
173,"CB_1966_WI",,"Wisconsin",587,"1966"
0,"CB_1966_WV",,"West Virginia",189,"1966"
1,"CB_1966_WY",,"Wyoming",69,"1966"
53,"CB_1965_AK",,"Alaska",10,"1965"
163,"CB_1965_AL",,"Alabama",263,"1965"
108,"CB_1965_AR",,"Arkansas",242,"1965"
2,"CB_1965_AS",,"American Samoa",0,"1965"
250,"CB_1965_AZ",,"Arizona",17,"1965"
2419,"CB_1965_CA",,"California",193,"1965"
8,"CB_1965_CO",,"Colorado",210,"1965"
313,"CB_1965_CT",,"Connecticut",64,"1965"
88,"CB_1965_DC",,"District Of Columbia",15,"1965"
65,"CB_1965_DE",,"Delaware",20,"1965"
18,"CB_1965_FL",,"Florida",439,"1965"
24,"CB_1965_FM",,"Federated States of Micronesia",0,"1965"
196,"CB_1965_GA",,"Georgia",387,"1965"
4,"CB_1965_GU",,"Guam",0,"1965"
